date,portfolio_value,cash,positions
20160114,1000000.0,215.01545095806068,"{'LBC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 79.4285706111363}, 'WEI': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'DTW': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'OAC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 122.4719158312752}, 'OSW': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 127.55102482148344}, 'KLR': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'AMPY': {'quantity': 0, 'avg_cost': 82.29168514809146, 'current_price': 127.55102482148344}, 'PAE': {'quantity': 0, 'avg_cost': 107.14286094417373, 'current_price': 127.05882627933775}, 'NPA': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'PTI': {'quantity': 0, 'avg_cost': 103.2288888538126, 'current_price': 99.7405015938028}}"
20160115,1039680.7810282179,215.01545095806068,"{'LBC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 79.4285706111363}, 'WEI': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'DTW': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'OAC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 122.4719158312752}, 'OSW': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 127.55102482148344}, 'KLR': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'AMPY': {'quantity': 0, 'avg_cost': 82.29168514809146, 'current_price': 127.55102482148344}, 'PAE': {'quantity': 0, 'avg_cost': 107.14286094417373, 'current_price': 127.05882627933775}, 'NPA': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'PTI': {'quantity': 0, 'avg_cost': 103.2288888538126, 'current_price': 99.7405015938028}}"
20160119,1043524.3126331272,215.01545095806068,"{'LBC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 79.4285706111363}, 'WEI': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'DTW': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'OAC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 122.4719158312752}, 'OSW': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 127.55102482148344}, 'KLR': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'AMPY': {'quantity': 0, 'avg_cost': 82.29168514809146, 'current_price': 127.55102482148344}, 'PAE': {'quantity': 0, 'avg_cost': 107.14286094417373, 'current_price': 127.05882627933775}, 'NPA': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'PTI': {'quantity': 0, 'avg_cost': 103.2288888538126, 'current_price': 99.7405015938028}}"
20160120,974784.7423205246,215.01545095806068,"{'LBC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 79.4285706111363}, 'WEI': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'DTW': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'OAC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 122.4719158312752}, 'OSW': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 127.55102482148344}, 'KLR': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'AMPY': {'quantity': 0, 'avg_cost': 82.29168514809146, 'current_price': 127.55102482148344}, 'PAE': {'quantity': 0, 'avg_cost': 107.14286094417373, 'current_price': 127.05882627933775}, 'NPA': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'PTI': {'quantity': 0, 'avg_cost': 103.2288888538126, 'current_price': 99.7405015938028}}"
20160121,1037564.0478513892,215.01545095806068,"{'LBC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 79.4285706111363}, 'WEI': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'DTW': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'OAC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 122.4719158312752}, 'OSW': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 127.55102482148344}, 'KLR': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'AMPY': {'quantity': 0, 'avg_cost': 82.29168514809146, 'current_price': 127.55102482148344}, 'PAE': {'quantity': 0, 'avg_cost': 107.14286094417373, 'current_price': 127.05882627933775}, 'NPA': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'PTI': {'quantity': 0, 'avg_cost': 103.2288888538126, 'current_price': 99.7405015938028}}"
20160122,1074957.263887105,232883.25725611812,"{'DTW': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'OAC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 122.4719158312752}, 'PAE': {'quantity': 0, 'avg_cost': 107.14286094417373, 'current_price': 127.05882627933775}, 'TT': {'quantity': 0, 'avg_cost': 79.4285706111363, 'current_price': 80.00000966993085}, 'BCDA': {'quantity': 0, 'avg_cost': 114.28571969203132, 'current_price': 100.0}, 'JAGX': {'quantity': 0, 'avg_cost': 111.913357400722, 'current_price': 76.24113909046363}, 'ARCH': {'quantity': 0, 'avg_cost': 127.55102482148344, 'current_price': 102.89854992364165}, 'SAF': {'quantity': 0, 'avg_cost': 99.81859359894408, 'current_price': 90.18170269567015}, 'MCX': {'quantity': 0, 'avg_cost': 100.70100706910887, 'current_price': 100.0}, 'EGLE': {'quantity': 0, 'avg_cost': 86.27450748176194, 'current_price': 76.24113909046363}}"
20160125,996070.9949560626,232883.25725611812,"{'DTW': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'OAC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 122.4719158312752}, 'PAE': {'quantity': 0, 'avg_cost': 107.14286094417373, 'current_price': 127.05882627933775}, 'TT': {'quantity': 0, 'avg_cost': 79.4285706111363, 'current_price': 80.00000966993085}, 'BCDA': {'quantity': 0, 'avg_cost': 114.28571969203132, 'current_price': 100.0}, 'JAGX': {'quantity': 0, 'avg_cost': 111.913357400722, 'current_price': 76.24113909046363}, 'ARCH': {'quantity': 0, 'avg_cost': 127.55102482148344, 'current_price': 102.89854992364165}, 'SAF': {'quantity': 0, 'avg_cost': 99.81859359894408, 'current_price': 90.18170269567015}, 'MCX': {'quantity': 0, 'avg_cost': 100.70100706910887, 'current_price': 100.0}, 'EGLE': {'quantity': 0, 'avg_cost': 86.27450748176194, 'current_price': 76.24113909046363}}"
20160126,989188.1117918922,232883.25725611812,"{'DTW': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'OAC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 122.4719158312752}, 'PAE': {'quantity': 0, 'avg_cost': 107.14286094417373, 'current_price': 127.05882627933775}, 'TT': {'quantity': 0, 'avg_cost': 79.4285706111363, 'current_price': 80.00000966993085}, 'BCDA': {'quantity': 0, 'avg_cost': 114.28571969203132, 'current_price': 100.0}, 'JAGX': {'quantity': 0, 'avg_cost': 111.913357400722, 'current_price': 76.24113909046363}, 'ARCH': {'quantity': 0, 'avg_cost': 127.55102482148344, 'current_price': 102.89854992364165}, 'SAF': {'quantity': 0, 'avg_cost': 99.81859359894408, 'current_price': 90.18170269567015}, 'MCX': {'quantity': 0, 'avg_cost': 100.70100706910887, 'current_price': 100.0}, 'EGLE': {'quantity': 0, 'avg_cost': 86.27450748176194, 'current_price': 76.24113909046363}}"
20160127,997302.8306920783,232883.25725611812,"{'DTW': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'OAC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 122.4719158312752}, 'PAE': {'quantity': 0, 'avg_cost': 107.14286094417373, 'current_price': 127.05882627933775}, 'TT': {'quantity': 0, 'avg_cost': 79.4285706111363, 'current_price': 80.00000966993085}, 'BCDA': {'quantity': 0, 'avg_cost': 114.28571969203132, 'current_price': 100.0}, 'JAGX': {'quantity': 0, 'avg_cost': 111.913357400722, 'current_price': 76.24113909046363}, 'ARCH': {'quantity': 0, 'avg_cost': 127.55102482148344, 'current_price': 102.89854992364165}, 'SAF': {'quantity': 0, 'avg_cost': 99.81859359894408, 'current_price': 90.18170269567015}, 'MCX': {'quantity': 0, 'avg_cost': 100.70100706910887, 'current_price': 100.0}, 'EGLE': {'quantity': 0, 'avg_cost': 86.27450748176194, 'current_price': 76.24113909046363}}"
20160128,992084.1980395775,232883.25725611812,"{'DTW': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 100.0}, 'OAC': {'quantity': 0, 'avg_cost': 123.59551091549952, 'current_price': 122.4719158312752}, 'PAE': {'quantity': 0, 'avg_cost': 107.14286094417373, 'current_price': 127.05882627933775}, 'TT': {'quantity': 0, 'avg_cost': 79.4285706111363, 'current_price': 80.00000966993085}, 'BCDA': {'quantity': 0, 'avg_cost': 114.28571969203132, 'current_price': 100.0}, 'JAGX': {'quantity': 0, 'avg_cost': 111.913357400722, 'current_price': 76.24113909046363}, 'ARCH': {'quantity': 0, 'avg_cost': 127.55102482148344, 'current_price': 102.89854992364165}, 'SAF': {'quantity': 0, 'avg_cost': 99.81859359894408, 'current_price': 90.18170269567015}, 'MCX': {'quantity': 0, 'avg_cost': 100.70100706910887, 'current_price': 100.0}, 'EGLE': {'quantity': 0, 'avg_cost': 86.27450748176194, 'current_price': 76.24113909046363}}"
