type,stock,price,quantity,cost,date,proceeds
BUY,LBC,123.59551091549952,404,49932.586409861804,2026-04-28,
BUY,WEI,100.0,500,50000.0,2026-04-28,
BUY,DTW,100.0,500,50000.0,2026-04-28,
BUY,OAC,123.59551091549952,404,49932.586409861804,2026-04-28,
BUY,OSW,80.13889074693498,623,49926.52893534049,2026-04-28,
BUY,KLR,100.0,500,50000.0,2026-04-28,
BUY,NPA,100.0,500,50000.0,2026-04-28,
BUY,AMPY,82.29168514809146,607,49951.05288489151,2026-04-28,
BUY,PAE,107.14286094417373,466,49928.57319998496,2026-04-28,
BUY,PTI,103.2288888538126,484,49962.782205245305,2026-04-28,
SELL,LBC,79.4285706111363,404,,2026-04-28,32089.142526899064
SELL,WEI,100.0,500,,2026-04-28,50000.0
SELL,OSW,127.55102482148344,623,,2026-04-28,79464.28846378418
SELL,KLR,100.0,500,,2026-04-28,50000.0
SELL,NPA,100.0,500,,2026-04-28,50000.0
SELL,AMPY,127.55102482148344,607,,2026-04-28,77423.47206664045
SELL,PTI,99.7405015938028,484,,2026-04-28,48274.40277140056
BUY,TT,79.4285706111363,558,44321.142401014054,2026-04-28,
BUY,BCDA,114.28571969203132,388,44342.85924050815,2026-04-28,
BUY,JAGX,111.913357400722,396,44317.689530685915,2026-04-28,
BUY,ARCH,127.55102482148344,347,44260.20561305475,2026-04-28,
BUY,SAF,99.81859359894408,444,44319.45555793117,2026-04-28,
BUY,MCX,100.70100706910887,440,44308.443110407905,2026-04-28,
BUY,EGLE,86.27450748176194,514,44345.09684562564,2026-04-28,
SELL,DTW,100.0,500,,2026-04-28,50000.0
SELL,PAE,127.05882627933775,466,,2026-04-28,59209.413046171394
SELL,TT,80.00000966993085,558,,2026-04-28,44640.00539582141
SELL,BCDA,100.0,388,,2026-04-28,38800.0
SELL,JAGX,76.24113909046363,396,,2026-04-28,30191.491079823598
SELL,ARCH,102.89854992364165,347,,2026-04-28,35705.79682350365
SELL,SAF,90.18170269567015,444,,2026-04-28,40040.67599687755
SELL,MCX,100.0,440,,2026-04-28,44000.0
SELL,EGLE,76.24113909046363,514,,2026-04-28,39187.94549249831
BUY,GHG,127.05882627933775,377,47901.177507310334,2026-04-28,
BUY,SKYS,105.77464573819873,453,47915.914519404025,2026-04-28,
BUY,ALACR,100.0,479,47900.0,2026-04-28,
BUY,KPTI,92.60450841115477,517,47876.53084856702,2026-04-28,
BUY,SPT,127.05882627933775,377,47901.177507310334,2026-04-28,
BUY,HBM,112.30770430126805,427,47955.38973664145,2026-04-28,
BUY,NPA,76.24113909046363,629,47955.67648790163,2026-04-28,
BUY,GIX,100.0,479,47900.0,2026-04-28,
BUY,RARE,95.90382370568989,500,47951.91185284495,2026-04-28,
SELL,OAC,122.4719158312752,404,,2026-04-28,49478.65399583518
SELL,GHG,73.84230618747256,377,,2026-04-28,27838.549432677155
SELL,SKYS,95.87217238734121,453,,2026-04-28,43430.094091465566
SELL,KPTI,96.35416614926525,517,,2026-04-28,49815.103899170135
SELL,SPT,83.333336437742,377,,2026-04-28,31416.667837028737
SELL,HBM,89.04108638152522,427,,2026-04-28,38020.54388491127
SELL,NPA,100.0,629,,2026-04-28,62900.0
SELL,GIX,100.0,479,,2026-04-28,47900.0
SELL,RARE,101.70845312852647,500,,2026-04-28,50854.226564263234
BUY,LN,122.4719158312752,379,46416.8561000533,2026-04-28,
BUY,PXS,122.4719158312752,379,46416.8561000533,2026-04-28,
BUY,HMI,122.4719158312752,379,46416.8561000533,2026-04-28,
BUY,PRO,96.75573269308538,480,46442.751692680984,2026-04-28,
BUY,VRT,122.4719158312752,379,46416.8561000533,2026-04-28,
BUY,LLEX,100.0,464,46400.0,2026-04-28,
BUY,CNF,100.0,464,46400.0,2026-04-28,
BUY,GCP,90.22857121058873,515,46467.71417345319,2026-04-28,
BUY,PIC,102.04235626804596,455,46429.272101960916,2026-04-28,
SELL,ALACR,100.0,479,,2026-04-28,47900.0
SELL,LN,84.50704225352112,379,,2026-04-28,32028.169014084506
SELL,PXS,103.15789803903854,379,,2026-04-28,39096.84335679561
SELL,HMI,99.79612174405541,379,,2026-04-28,37822.730140997
SELL,PRO,106.21301866972594,480,,2026-04-28,50982.24896146845
SELL,VRT,84.50704225352112,379,,2026-04-28,32028.169014084506
SELL,LLEX,87.49999720603232,464,,2026-04-28,40599.998703599
SELL,CNF,100.0,464,,2026-04-28,46400.0
SELL,PIC,137.06294475799638,455,,2026-04-28,62363.63986488835
BUY,DTW,100.0,450,45000.0,2026-04-28,
BUY,LPLA,120.72726210476216,373,45031.26876507629,2026-04-28,
BUY,JPT,103.70369907945461,434,45007.4054004833,2026-04-28,
BUY,GSX,100.0,450,45000.0,2026-04-28,
BUY,SPI,129.40145896299043,348,45031.70771912067,2026-04-28,
BUY,ALKS,104.80738835721506,429,44962.36960524526,2026-04-28,
BUY,AYTU,85.71428571428571,525,45000.0,2026-04-28,
BUY,EQ,100.0,450,45000.0,2026-04-28,
