type,stock,price,quantity,cost,date,proceeds
BUY,LBC,123.59551091549952,809,99988.76833063911,2026-04-28,
BUY,WEI,100.0,1000,100000.0,2026-04-28,
BUY,DTW,100.0,1000,100000.0,2026-04-28,
BUY,OAC,123.59551091549952,809,99988.76833063911,2026-04-28,
BUY,OSW,80.13889074693498,1247,99933.19676142791,2026-04-28,
BUY,KLR,100.0,1000,100000.0,2026-04-28,
BUY,AMPY,82.29168514809146,1215,99984.39745493112,2026-04-28,
BUY,PAE,107.14286094417373,933,99964.2892609141,2026-04-28,
BUY,NPA,100.0,1000,100000.0,2026-04-28,
BUY,PTI,103.2288888538126,968,99925.56441049061,2026-04-28,
SELL,LBC,79.4285706111363,809,,2026-04-28,64257.71362440926
SELL,WEI,100.0,1000,,2026-04-28,100000.0
SELL,OSW,127.55102482148344,1247,,2026-04-28,159056.12795238986
SELL,KLR,100.0,1000,,2026-04-28,100000.0
SELL,AMPY,127.55102482148344,1215,,2026-04-28,154974.49515810236
SELL,NPA,100.0,1000,,2026-04-28,100000.0
SELL,PTI,99.7405015938028,968,,2026-04-28,96548.80554280111
BUY,TT,79.4285706111363,975,77442.85634585789,2026-04-28,
BUY,BCDA,114.28571969203132,678,77485.71795119724,2026-04-28,
BUY,JAGX,111.913357400722,692,77444.04332129963,2026-04-28,
BUY,ARCH,127.55102482148344,607,77423.47206664045,2026-04-28,
BUY,SAF,99.81859359894408,776,77459.2286327806,2026-04-28,
BUY,MCX,100.70100706910887,769,77439.07443614471,2026-04-28,
BUY,EGLE,86.27450748176194,898,77474.50771862222,2026-04-28,
SELL,DTW,100.0,1000,,2026-04-28,100000.0
SELL,PAE,127.05882627933775,933,,2026-04-28,118545.88491862212
SELL,TT,80.00000966993085,975,,2026-04-28,78000.00942818257
SELL,BCDA,100.0,678,,2026-04-28,67800.0
SELL,JAGX,76.24113909046363,692,,2026-04-28,52758.86825060083
SELL,ARCH,102.89854992364165,607,,2026-04-28,62459.41980365048
SELL,SAF,90.18170269567015,776,,2026-04-28,69981.00129184005
SELL,MCX,100.0,769,,2026-04-28,76900.0
SELL,EGLE,76.24113909046363,898,,2026-04-28,68464.54290323635
BUY,GHG,127.05882627933775,730,92752.94318391656,2026-04-28,
BUY,SKYS,105.77464573819873,877,92764.36431240028,2026-04-28,
BUY,ALACR,100.0,927,92700.0,2026-04-28,
BUY,KPTI,92.60450841115477,1001,92697.11291956592,2026-04-28,
BUY,SPT,127.05882627933775,730,92752.94318391656,2026-04-28,
BUY,HBM,112.30770430126805,826,92766.16375284741,2026-04-28,
BUY,NPA,76.24113909046363,1216,92709.22513400378,2026-04-28,
BUY,GIX,100.0,927,92700.0,2026-04-28,
BUY,RARE,95.90382370568989,967,92738.99752340213,2026-04-28,
SELL,OAC,122.4719158312752,809,,2026-04-28,99079.77990750164
SELL,GHG,73.84230618747256,730,,2026-04-28,53904.88351685497
SELL,SKYS,95.87217238734121,877,,2026-04-28,84079.89518369825
SELL,KPTI,96.35416614926525,1001,,2026-04-28,96450.52031541451
SELL,SPT,83.333336437742,730,,2026-04-28,60833.33559955166
SELL,HBM,89.04108638152522,826,,2026-04-28,73547.93735113983
SELL,NPA,100.0,1216,,2026-04-28,121600.0
SELL,GIX,100.0,927,,2026-04-28,92700.0
SELL,RARE,101.70845312852647,967,,2026-04-28,98352.0741752851
BUY,LN,122.4719158312752,713,87322.47598769922,2026-04-28,
BUY,PXS,122.4719158312752,713,87322.47598769922,2026-04-28,
BUY,HMI,122.4719158312752,713,87322.47598769922,2026-04-28,
BUY,PRO,96.75573269308538,903,87370.4266218561,2026-04-28,
BUY,VRT,122.4719158312752,713,87322.47598769922,2026-04-28,
BUY,LLEX,100.0,873,87300.0,2026-04-28,
BUY,CNF,100.0,873,87300.0,2026-04-28,
BUY,GCP,90.22857121058873,968,87341.25693184989,2026-04-28,
