,Long,Short,Long-Short
total_return,0.39214240116653687,0.0,0.2598675936678678
annualized_return,0.08252016626458669,0.0,0.056925567830454105
annualized_volatility,0.47699524779821467,0.0,0.2464133043761255
sharpe_ratio,0.13107083677075723,0,0.14985216777942673
max_drawdown,-0.5704923929388503,0.0,-0.34957366913663346
max_drawdown_duration,1445,0,1071
win_rate,0.2052910052910053,0,0.2052910052910053
profit_loss_ratio,0.859557270949855,inf,0.8592235668731663
num_trades,3780,0,3780
profitable_trades,776,0,776
losing_trades,3004,0,3004
avg_profit,7043.410144360425,0,4241.627666845686
avg_loss,2116.7518747308063,0,1275.2289272994697
max_single_profit,59122.93119096193,0,29537.75952844369
max_single_loss,-60847.38431530095,0,-33126.083151596504
risk_free_rate,0.02,0.02,0.02
start_date,2016-01-14,2016-01-14,2016-01-14
end_date,2020-03-17,2020-03-17,2020-03-17
duration_days,1524,1524,1524
