date,portfolio_value,cash,positions
20160114,1000000.0000000002,500459.28526273556,"{'BKN': {'quantity': 0, 'avg_cost': 99.09967302774814, 'current_price': 101.49254807434222}, 'DMO': {'quantity': 0, 'avg_cost': 96.25972420176568, 'current_price': 101.73642179163649}, 'FPF': {'quantity': 0, 'avg_cost': 101.49321829272336, 'current_price': 100.36779544587485}, 'NAN': {'quantity': 0, 'avg_cost': 99.57325250480787, 'current_price': 101.35709781663}, 'AFC': {'quantity': 0, 'avg_cost': 100.19662677441666, 'current_price': 99.25315977197026}, 'TDE': {'quantity': 0, 'avg_cost': 99.72218809237408, 'current_price': 101.35295454432524}, 'NPN': {'quantity': 0, 'avg_cost': 100.52979553372879, 'current_price': 101.11990858585213}, 'GJH': {'quantity': 0, 'avg_cost': 100.10202544815388, 'current_price': 98.67484420720785}, 'BFZ': {'quantity': 0, 'avg_cost': 100.43638651945169, 'current_price': 101.56840175455632}, 'UZB': {'quantity': 0, 'avg_cost': 99.25489133072945, 'current_price': 100.35559927194429}}"
20160115,1000298.1176353127,500459.28526273556,"{'BKN': {'quantity': 0, 'avg_cost': 99.09967302774814, 'current_price': 101.49254807434222}, 'DMO': {'quantity': 0, 'avg_cost': 96.25972420176568, 'current_price': 101.73642179163649}, 'FPF': {'quantity': 0, 'avg_cost': 101.49321829272336, 'current_price': 100.36779544587485}, 'NAN': {'quantity': 0, 'avg_cost': 99.57325250480787, 'current_price': 101.35709781663}, 'AFC': {'quantity': 0, 'avg_cost': 100.19662677441666, 'current_price': 99.25315977197026}, 'TDE': {'quantity': 0, 'avg_cost': 99.72218809237408, 'current_price': 101.35295454432524}, 'NPN': {'quantity': 0, 'avg_cost': 100.52979553372879, 'current_price': 101.11990858585213}, 'GJH': {'quantity': 0, 'avg_cost': 100.10202544815388, 'current_price': 98.67484420720785}, 'BFZ': {'quantity': 0, 'avg_cost': 100.43638651945169, 'current_price': 101.56840175455632}, 'UZB': {'quantity': 0, 'avg_cost': 99.25489133072945, 'current_price': 100.35559927194429}}"
20160119,1001737.5994323613,500459.28526273556,"{'BKN': {'quantity': 0, 'avg_cost': 99.09967302774814, 'current_price': 101.49254807434222}, 'DMO': {'quantity': 0, 'avg_cost': 96.25972420176568, 'current_price': 101.73642179163649}, 'FPF': {'quantity': 0, 'avg_cost': 101.49321829272336, 'current_price': 100.36779544587485}, 'NAN': {'quantity': 0, 'avg_cost': 99.57325250480787, 'current_price': 101.35709781663}, 'AFC': {'quantity': 0, 'avg_cost': 100.19662677441666, 'current_price': 99.25315977197026}, 'TDE': {'quantity': 0, 'avg_cost': 99.72218809237408, 'current_price': 101.35295454432524}, 'NPN': {'quantity': 0, 'avg_cost': 100.52979553372879, 'current_price': 101.11990858585213}, 'GJH': {'quantity': 0, 'avg_cost': 100.10202544815388, 'current_price': 98.67484420720785}, 'BFZ': {'quantity': 0, 'avg_cost': 100.43638651945169, 'current_price': 101.56840175455632}, 'UZB': {'quantity': 0, 'avg_cost': 99.25489133072945, 'current_price': 100.35559927194429}}"
20160120,1003661.3070149489,500459.28526273556,"{'BKN': {'quantity': 0, 'avg_cost': 99.09967302774814, 'current_price': 101.49254807434222}, 'DMO': {'quantity': 0, 'avg_cost': 96.25972420176568, 'current_price': 101.73642179163649}, 'FPF': {'quantity': 0, 'avg_cost': 101.49321829272336, 'current_price': 100.36779544587485}, 'NAN': {'quantity': 0, 'avg_cost': 99.57325250480787, 'current_price': 101.35709781663}, 'AFC': {'quantity': 0, 'avg_cost': 100.19662677441666, 'current_price': 99.25315977197026}, 'TDE': {'quantity': 0, 'avg_cost': 99.72218809237408, 'current_price': 101.35295454432524}, 'NPN': {'quantity': 0, 'avg_cost': 100.52979553372879, 'current_price': 101.11990858585213}, 'GJH': {'quantity': 0, 'avg_cost': 100.10202544815388, 'current_price': 98.67484420720785}, 'BFZ': {'quantity': 0, 'avg_cost': 100.43638651945169, 'current_price': 101.56840175455632}, 'UZB': {'quantity': 0, 'avg_cost': 99.25489133072945, 'current_price': 100.35559927194429}}"
20160121,1005026.9997720256,500459.28526273556,"{'BKN': {'quantity': 0, 'avg_cost': 99.09967302774814, 'current_price': 101.49254807434222}, 'DMO': {'quantity': 0, 'avg_cost': 96.25972420176568, 'current_price': 101.73642179163649}, 'FPF': {'quantity': 0, 'avg_cost': 101.49321829272336, 'current_price': 100.36779544587485}, 'NAN': {'quantity': 0, 'avg_cost': 99.57325250480787, 'current_price': 101.35709781663}, 'AFC': {'quantity': 0, 'avg_cost': 100.19662677441666, 'current_price': 99.25315977197026}, 'TDE': {'quantity': 0, 'avg_cost': 99.72218809237408, 'current_price': 101.35295454432524}, 'NPN': {'quantity': 0, 'avg_cost': 100.52979553372879, 'current_price': 101.11990858585213}, 'GJH': {'quantity': 0, 'avg_cost': 100.10202544815388, 'current_price': 98.67484420720785}, 'BFZ': {'quantity': 0, 'avg_cost': 100.43638651945169, 'current_price': 101.56840175455632}, 'UZB': {'quantity': 0, 'avg_cost': 99.25489133072945, 'current_price': 100.35559927194429}}"
20160122,1004424.1913056126,543711.0161885208,"{'AFC': {'quantity': 0, 'avg_cost': 100.19662677441666, 'current_price': 99.25315977197026}, 'BFZ': {'quantity': 0, 'avg_cost': 100.43638651945169, 'current_price': 101.56840175455632}, 'NEA': {'quantity': 0, 'avg_cost': 99.92776860235615, 'current_price': 102.02455543575128}, 'KTN': {'quantity': 0, 'avg_cost': 99.19328035990002, 'current_price': 99.18673550903871}, 'BKT': {'quantity': 0, 'avg_cost': 99.8456684798157, 'current_price': 100.47484985971391}, 'DXB': {'quantity': 0, 'avg_cost': 100.19854378557949, 'current_price': 88.03015079188295}, 'JLS': {'quantity': 0, 'avg_cost': 99.6495591913631, 'current_price': 100.65935261139218}, 'NKX': {'quantity': 0, 'avg_cost': 100.71104452508044, 'current_price': 101.66881697756625}, 'AYTU': {'quantity': 0, 'avg_cost': 117.28395061728396, 'current_price': 76.24113909046363}, 'PTI': {'quantity': 0, 'avg_cost': 99.7405015938028, 'current_price': 104.53447233108326}}"
20160125,1001569.7772559614,543711.0161885208,"{'AFC': {'quantity': 0, 'avg_cost': 100.19662677441666, 'current_price': 99.25315977197026}, 'BFZ': {'quantity': 0, 'avg_cost': 100.43638651945169, 'current_price': 101.56840175455632}, 'NEA': {'quantity': 0, 'avg_cost': 99.92776860235615, 'current_price': 102.02455543575128}, 'KTN': {'quantity': 0, 'avg_cost': 99.19328035990002, 'current_price': 99.18673550903871}, 'BKT': {'quantity': 0, 'avg_cost': 99.8456684798157, 'current_price': 100.47484985971391}, 'DXB': {'quantity': 0, 'avg_cost': 100.19854378557949, 'current_price': 88.03015079188295}, 'JLS': {'quantity': 0, 'avg_cost': 99.6495591913631, 'current_price': 100.65935261139218}, 'NKX': {'quantity': 0, 'avg_cost': 100.71104452508044, 'current_price': 101.66881697756625}, 'AYTU': {'quantity': 0, 'avg_cost': 117.28395061728396, 'current_price': 76.24113909046363}, 'PTI': {'quantity': 0, 'avg_cost': 99.7405015938028, 'current_price': 104.53447233108326}}"
20160126,1004215.6531809055,543711.0161885208,"{'AFC': {'quantity': 0, 'avg_cost': 100.19662677441666, 'current_price': 99.25315977197026}, 'BFZ': {'quantity': 0, 'avg_cost': 100.43638651945169, 'current_price': 101.56840175455632}, 'NEA': {'quantity': 0, 'avg_cost': 99.92776860235615, 'current_price': 102.02455543575128}, 'KTN': {'quantity': 0, 'avg_cost': 99.19328035990002, 'current_price': 99.18673550903871}, 'BKT': {'quantity': 0, 'avg_cost': 99.8456684798157, 'current_price': 100.47484985971391}, 'DXB': {'quantity': 0, 'avg_cost': 100.19854378557949, 'current_price': 88.03015079188295}, 'JLS': {'quantity': 0, 'avg_cost': 99.6495591913631, 'current_price': 100.65935261139218}, 'NKX': {'quantity': 0, 'avg_cost': 100.71104452508044, 'current_price': 101.66881697756625}, 'AYTU': {'quantity': 0, 'avg_cost': 117.28395061728396, 'current_price': 76.24113909046363}, 'PTI': {'quantity': 0, 'avg_cost': 99.7405015938028, 'current_price': 104.53447233108326}}"
20160127,1014202.1758257927,543711.0161885208,"{'AFC': {'quantity': 0, 'avg_cost': 100.19662677441666, 'current_price': 99.25315977197026}, 'BFZ': {'quantity': 0, 'avg_cost': 100.43638651945169, 'current_price': 101.56840175455632}, 'NEA': {'quantity': 0, 'avg_cost': 99.92776860235615, 'current_price': 102.02455543575128}, 'KTN': {'quantity': 0, 'avg_cost': 99.19328035990002, 'current_price': 99.18673550903871}, 'BKT': {'quantity': 0, 'avg_cost': 99.8456684798157, 'current_price': 100.47484985971391}, 'DXB': {'quantity': 0, 'avg_cost': 100.19854378557949, 'current_price': 88.03015079188295}, 'JLS': {'quantity': 0, 'avg_cost': 99.6495591913631, 'current_price': 100.65935261139218}, 'NKX': {'quantity': 0, 'avg_cost': 100.71104452508044, 'current_price': 101.66881697756625}, 'AYTU': {'quantity': 0, 'avg_cost': 117.28395061728396, 'current_price': 76.24113909046363}, 'PTI': {'quantity': 0, 'avg_cost': 99.7405015938028, 'current_price': 104.53447233108326}}"
20160128,998275.8369634051,543711.0161885208,"{'AFC': {'quantity': 0, 'avg_cost': 100.19662677441666, 'current_price': 99.25315977197026}, 'BFZ': {'quantity': 0, 'avg_cost': 100.43638651945169, 'current_price': 101.56840175455632}, 'NEA': {'quantity': 0, 'avg_cost': 99.92776860235615, 'current_price': 102.02455543575128}, 'KTN': {'quantity': 0, 'avg_cost': 99.19328035990002, 'current_price': 99.18673550903871}, 'BKT': {'quantity': 0, 'avg_cost': 99.8456684798157, 'current_price': 100.47484985971391}, 'DXB': {'quantity': 0, 'avg_cost': 100.19854378557949, 'current_price': 88.03015079188295}, 'JLS': {'quantity': 0, 'avg_cost': 99.6495591913631, 'current_price': 100.65935261139218}, 'NKX': {'quantity': 0, 'avg_cost': 100.71104452508044, 'current_price': 101.66881697756625}, 'AYTU': {'quantity': 0, 'avg_cost': 117.28395061728396, 'current_price': 76.24113909046363}, 'PTI': {'quantity': 0, 'avg_cost': 99.7405015938028, 'current_price': 104.53447233108326}}"
