date,portfolio_value,cash,positions
20160114,1000000,1000000,{}
20160115,1000000,1000000,{}
20160119,1000000,1000000,{}
20160120,1000000,1000000,{}
20160121,1000000,1000000,{}
20160122,1000000,1000000,{}
20160125,1000000,1000000,{}
20160126,1000000,1000000,{}
20160127,1000000,1000000,{}
20160128,1000000,1000000,{}
20160129,1000000,1000000,{}
20160201,1000000,1000000,{}
20160202,1000000,1000000,{}
20160203,1000000,1000000,{}
20160204,1000000,1000000,{}
20160205,1000000,1000000,{}
20160208,1000000,1000000,{}
20160209,1000000,1000000,{}
20160210,1000000,1000000,{}
20160211,1000000,1000000,{}
20160212,1000000,1000000,{}
20160216,1000000,1000000,{}
20160217,1000000,1000000,{}
20160218,1000000,1000000,{}
20160219,1000000,1000000,{}
20160222,1000000,1000000,{}
20160223,1000000,1000000,{}
20160224,1000000,1000000,{}
20160225,1000000,1000000,{}
20160226,1000000,1000000,{}
20160229,1000000,1000000,{}
20160301,1000000,1000000,{}
20160302,1000000,1000000,{}
20160303,1000000,1000000,{}
20160304,1000000,1000000,{}
20160307,1000000,1000000,{}
20160308,1000000,1000000,{}
20160309,1000000,1000000,{}
20160310,1000000,1000000,{}
20160311,1000000,1000000,{}
20160314,1000000,1000000,{}
20160315,1000000,1000000,{}
20160316,1000000,1000000,{}
20160317,1000000,1000000,{}
20160318,1000000,1000000,{}
20160321,1000000,1000000,{}
20160322,1000000,1000000,{}
20160323,1000000,1000000,{}
20160324,1000000,1000000,{}
20160328,1000000,1000000,{}
20160329,1000000,1000000,{}
20160330,1000000,1000000,{}
20160331,1000000,1000000,{}
20160401,1000000,1000000,{}
20160404,1000000,1000000,{}
20160405,1000000,1000000,{}
20160406,1000000,1000000,{}
20160407,1000000,1000000,{}
20160408,1000000,1000000,{}
20160411,1000000,1000000,{}
20160412,1000000,1000000,{}
20160413,1000000,1000000,{}
20160414,1000000,1000000,{}
20160415,1000000,1000000,{}
20160418,1000000,1000000,{}
20160419,1000000,1000000,{}
20160420,1000000,1000000,{}
20160421,1000000,1000000,{}
20160422,1000000,1000000,{}
20160425,1000000,1000000,{}
20160426,1000000,1000000,{}
20160427,1000000,1000000,{}
20160428,1000000,1000000,{}
20160429,1000000,1000000,{}
20160502,1000000,1000000,{}
20160503,1000000,1000000,{}
20160504,1000000,1000000,{}
20160505,1000000,1000000,{}
20160506,1000000,1000000,{}
20160509,1000000,1000000,{}
20160510,1000000,1000000,{}
20160511,1000000,1000000,{}
20160512,1000000,1000000,{}
20160513,1000000,1000000,{}
20160516,1000000,1000000,{}
20160517,1000000,1000000,{}
20160518,1000000,1000000,{}
20160519,1000000,1000000,{}
20160520,1000000,1000000,{}
20160523,1000000,1000000,{}
20160524,1000000,1000000,{}
20160525,1000000,1000000,{}
20160526,1000000,1000000,{}
20160527,1000000,1000000,{}
20160531,1000000,1000000,{}
20160601,1000000,1000000,{}
20160602,1000000,1000000,{}
20160603,1000000,1000000,{}
20160606,1000000,1000000,{}
20160607,1000000,1000000,{}
20160608,1000000,1000000,{}
20160609,1000000,1000000,{}
20160610,1000000,1000000,{}
20160613,1000000,1000000,{}
20160614,1000000,1000000,{}
20160615,1000000,1000000,{}
20160616,1000000,1000000,{}
20160617,1000000,1000000,{}
20160620,1000000,1000000,{}
20160621,1000000,1000000,{}
20160622,1000000,1000000,{}
20160623,1000000,1000000,{}
20160624,1000000,1000000,{}
20160627,1000000,1000000,{}
20160628,1000000,1000000,{}
20160629,1000000,1000000,{}
20160630,1000000,1000000,{}
20160701,1000000,1000000,{}
20160705,1000000,1000000,{}
20160706,1000000,1000000,{}
20160707,1000000,1000000,{}
20160708,1000000,1000000,{}
20160711,1000000,1000000,{}
20160712,1000000,1000000,{}
20160713,1000000,1000000,{}
20160714,1000000,1000000,{}
20160715,1000000,1000000,{}
20160718,1000000,1000000,{}
20160719,1000000,1000000,{}
20160720,1000000,1000000,{}
20160721,1000000,1000000,{}
20160722,1000000,1000000,{}
20160725,1000000,1000000,{}
20160726,1000000,1000000,{}
20160727,1000000,1000000,{}
20160728,1000000,1000000,{}
20160729,1000000,1000000,{}
20160801,1000000,1000000,{}
20160802,1000000,1000000,{}
20160803,1000000,1000000,{}
20160804,1000000,1000000,{}
20160805,1000000,1000000,{}
20160808,1000000,1000000,{}
20160809,1000000,1000000,{}
20160810,1000000,1000000,{}
20160811,1000000,1000000,{}
20160812,1000000,1000000,{}
20160815,1000000,1000000,{}
20160816,1000000,1000000,{}
20160817,1000000,1000000,{}
20160818,1000000,1000000,{}
20160819,1000000,1000000,{}
20160822,1000000,1000000,{}
20160823,1000000,1000000,{}
20160824,1000000,1000000,{}
20160825,1000000,1000000,{}
20160826,1000000,1000000,{}
20160829,1000000,1000000,{}
20160830,1000000,1000000,{}
20160831,1000000,1000000,{}
20160901,1000000,1000000,{}
20160902,1000000,1000000,{}
20160906,1000000,1000000,{}
20160907,1000000,1000000,{}
20160908,1000000,1000000,{}
20160909,1000000,1000000,{}
20160912,1000000,1000000,{}
20160913,1000000,1000000,{}
20160914,1000000,1000000,{}
20160915,1000000,1000000,{}
20160916,1000000,1000000,{}
20160919,1000000,1000000,{}
20160920,1000000,1000000,{}
20160921,1000000,1000000,{}
20160922,1000000,1000000,{}
20160923,1000000,1000000,{}
20160926,1000000,1000000,{}
20160927,1000000,1000000,{}
20160928,1000000,1000000,{}
20160929,1000000,1000000,{}
20160930,1000000,1000000,{}
20161003,1000000,1000000,{}
20161004,1000000,1000000,{}
20161005,1000000,1000000,{}
20161006,1000000,1000000,{}
20161007,1000000,1000000,{}
20161010,1000000,1000000,{}
20161011,1000000,1000000,{}
20161012,1000000,1000000,{}
20161013,1000000,1000000,{}
20161014,1000000,1000000,{}
20161017,1000000,1000000,{}
20161018,1000000,1000000,{}
20161019,1000000,1000000,{}
20161020,1000000,1000000,{}
20161021,1000000,1000000,{}
20161024,1000000,1000000,{}
20161025,1000000,1000000,{}
20161026,1000000,1000000,{}
20161027,1000000,1000000,{}
20161028,1000000,1000000,{}
20161031,1000000,1000000,{}
20161101,1000000,1000000,{}
20161102,1000000,1000000,{}
20161103,1000000,1000000,{}
20161104,1000000,1000000,{}
20161107,1000000,1000000,{}
20161108,1000000,1000000,{}
20161109,1000000,1000000,{}
20161110,1000000,1000000,{}
20161111,1000000,1000000,{}
20161114,1000000,1000000,{}
20161115,1000000,1000000,{}
20161116,1000000,1000000,{}
20161117,1000000,1000000,{}
20161118,1000000,1000000,{}
20161121,1000000,1000000,{}
20161122,1000000,1000000,{}
20161123,1000000,1000000,{}
20161125,1000000,1000000,{}
20161128,1000000,1000000,{}
20161129,1000000,1000000,{}
20161130,1000000,1000000,{}
20161201,1000000,1000000,{}
20161202,1000000,1000000,{}
20161205,1000000,1000000,{}
20161206,1000000,1000000,{}
20161207,1000000,1000000,{}
20161208,1000000,1000000,{}
20161209,1000000,1000000,{}
20161212,1000000,1000000,{}
20161213,1000000,1000000,{}
20161214,1000000,1000000,{}
20161215,1000000,1000000,{}
20161216,1000000,1000000,{}
20161219,1000000,1000000,{}
20161220,1000000,1000000,{}
20161221,1000000,1000000,{}
20161222,1000000,1000000,{}
20161223,1000000,1000000,{}
20161227,1000000,1000000,{}
20161228,1000000,1000000,{}
20161229,1000000,1000000,{}
20161230,1000000,1000000,{}
20170103,1000000,1000000,{}
20170104,1000000,1000000,{}
20170105,1000000,1000000,{}
20170106,1000000,1000000,{}
20170109,1000000,1000000,{}
20170110,1000000,1000000,{}
20170111,1000000,1000000,{}
20170112,1000000,1000000,{}
20170113,1000000,1000000,{}
20170117,1000000,1000000,{}
20170118,1000000,1000000,{}
20170119,1000000,1000000,{}
20170120,1000000,1000000,{}
20170123,1000000,1000000,{}
20170124,1000000,1000000,{}
20170125,1000000,1000000,{}
20170126,1000000,1000000,{}
20170127,1000000,1000000,{}
20170130,1000000,1000000,{}
20170131,1000000,1000000,{}
20170201,1000000,1000000,{}
20170202,1000000,1000000,{}
20170203,1000000,1000000,{}
20170206,1000000,1000000,{}
20170207,1000000,1000000,{}
20170208,1000000,1000000,{}
20170209,1000000,1000000,{}
20170210,1000000,1000000,{}
20170213,1000000,1000000,{}
20170214,1000000,1000000,{}
20170215,1000000,1000000,{}
20170216,1000000,1000000,{}
20170217,1000000,1000000,{}
20170221,1000000,1000000,{}
20170222,1000000,1000000,{}
20170223,1000000,1000000,{}
20170224,1000000,1000000,{}
20170227,1000000,1000000,{}
20170228,1000000,1000000,{}
20170301,1000000,1000000,{}
20170302,1000000,1000000,{}
20170303,1000000,1000000,{}
20170306,1000000,1000000,{}
20170307,1000000,1000000,{}
20170308,1000000,1000000,{}
20170309,1000000,1000000,{}
20170310,1000000,1000000,{}
20170313,1000000,1000000,{}
20170314,1000000,1000000,{}
20170315,1000000,1000000,{}
20170316,1000000,1000000,{}
20170317,1000000,1000000,{}
20170320,1000000,1000000,{}
20170321,1000000,1000000,{}
20170322,1000000,1000000,{}
20170323,1000000,1000000,{}
20170324,1000000,1000000,{}
20170327,1000000,1000000,{}
20170328,1000000,1000000,{}
20170329,1000000,1000000,{}
20170330,1000000,1000000,{}
20170331,1000000,1000000,{}
20170403,1000000,1000000,{}
20170404,1000000,1000000,{}
20170405,1000000,1000000,{}
20170406,1000000,1000000,{}
20170407,1000000,1000000,{}
20170410,1000000,1000000,{}
20170411,1000000,1000000,{}
20170412,1000000,1000000,{}
20170413,1000000,1000000,{}
20170417,1000000,1000000,{}
20170418,1000000,1000000,{}
20170419,1000000,1000000,{}
20170420,1000000,1000000,{}
20170421,1000000,1000000,{}
20170424,1000000,1000000,{}
20170425,1000000,1000000,{}
20170426,1000000,1000000,{}
20170427,1000000,1000000,{}
20170428,1000000,1000000,{}
20170501,1000000,1000000,{}
20170502,1000000,1000000,{}
20170503,1000000,1000000,{}
20170504,1000000,1000000,{}
20170505,1000000,1000000,{}
20170508,1000000,1000000,{}
20170509,1000000,1000000,{}
20170510,1000000,1000000,{}
20170511,1000000,1000000,{}
20170512,1000000,1000000,{}
20170515,1000000,1000000,{}
20170516,1000000,1000000,{}
20170517,1000000,1000000,{}
20170518,1000000,1000000,{}
20170519,1000000,1000000,{}
20170522,1000000,1000000,{}
20170523,1000000,1000000,{}
20170524,1000000,1000000,{}
20170525,1000000,1000000,{}
20170526,1000000,1000000,{}
20170530,1000000,1000000,{}
20170531,1000000,1000000,{}
20170601,1000000,1000000,{}
20170602,1000000,1000000,{}
20170605,1000000,1000000,{}
20170606,1000000,1000000,{}
20170607,1000000,1000000,{}
20170608,1000000,1000000,{}
20170609,1000000,1000000,{}
20170612,1000000,1000000,{}
20170613,1000000,1000000,{}
20170614,1000000,1000000,{}
20170615,1000000,1000000,{}
20170616,1000000,1000000,{}
20170619,1000000,1000000,{}
20170620,1000000,1000000,{}
20170621,1000000,1000000,{}
20170622,1000000,1000000,{}
20170623,1000000,1000000,{}
20170626,1000000,1000000,{}
20170627,1000000,1000000,{}
20170628,1000000,1000000,{}
20170629,1000000,1000000,{}
20170630,1000000,1000000,{}
20170703,1000000,1000000,{}
20170705,1000000,1000000,{}
20170706,1000000,1000000,{}
20170707,1000000,1000000,{}
20170710,1000000,1000000,{}
20170711,1000000,1000000,{}
20170712,1000000,1000000,{}
20170713,1000000,1000000,{}
20170714,1000000,1000000,{}
20170717,1000000,1000000,{}
20170718,1000000,1000000,{}
20170719,1000000,1000000,{}
20170720,1000000,1000000,{}
20170721,1000000,1000000,{}
20170724,1000000,1000000,{}
20170725,1000000,1000000,{}
20170726,1000000,1000000,{}
20170727,1000000,1000000,{}
20170728,1000000,1000000,{}
20170731,1000000,1000000,{}
20170801,1000000,1000000,{}
20170802,1000000,1000000,{}
20170803,1000000,1000000,{}
20170804,1000000,1000000,{}
20170807,1000000,1000000,{}
20170808,1000000,1000000,{}
20170809,1000000,1000000,{}
20170810,1000000,1000000,{}
20170811,1000000,1000000,{}
20170814,1000000,1000000,{}
20170815,1000000,1000000,{}
20170816,1000000,1000000,{}
20170817,1000000,1000000,{}
20170818,1000000,1000000,{}
20170821,1000000,1000000,{}
