,Long,Short,Long-Short
total_return,0.2636692984734792,0.0,0.1724870791396016
annualized_return,0.057689061663264596,0.0,0.03887383667373112
annualized_volatility,0.2727054116065931,0.0,0.14100578988411436
sharpe_ratio,0.13820430420220306,0,0.1338515013407789
max_drawdown,-0.23586777157167813,0.0,-0.12336818229079582
max_drawdown_duration,398,0,398
win_rate,0.23349056603773585,0,0.23349056603773585
profit_loss_ratio,0.722237992291196,inf,0.722291278270203
num_trades,3816,0,3816
profitable_trades,891,0,891
losing_trades,2925,0,2925
avg_profit,4521.57435118519,0,2231.1373882120565
avg_loss,1907.0460495769798,0,940.9483321848076
max_single_profit,77742.07340455441,0,44158.78935855791
max_single_loss,-81398.54479835452,0,-38073.51288955292
risk_free_rate,0.02,0.02,0.02
start_date,2016-01-14,2016-01-14,2016-01-14
end_date,2020-03-17,2020-03-17,2020-03-17
duration_days,1524,1524,1524
