date,portfolio_value,cash,positions
20160114,1000000.0,500506.2672110734,"{'NVIV': {'quantity': 0, 'avg_cost': 95.6989247311828, 'current_price': 90.74492099322799}, 'PHIO': {'quantity': 0, 'avg_cost': 101.6778523489933, 'current_price': 96.69966996699671}, 'ARA': {'quantity': 0, 'avg_cost': 97.14285714285714, 'current_price': 98.2352986055262}, 'TNXP': {'quantity': 0, 'avg_cost': 100.19607843137254, 'current_price': 94.71624266144813}, 'AVGR': {'quantity': 0, 'avg_cost': 88.5792349726776, 'current_price': 89.79310344827586}, 'TVIX': {'quantity': 0, 'avg_cost': 104.20932878270763, 'current_price': 92.24890829694323}, 'HMI': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 161.83205302368418}, 'TRNX': {'quantity': 0, 'avg_cost': 88.88888888888889, 'current_price': 95.34883720930233}, 'TOPS': {'quantity': 0, 'avg_cost': 111.11111111111111, 'current_price': 90.0}, 'CEI': {'quantity': 0, 'avg_cost': 88.8412017167382, 'current_price': 80.91787439613528}}"
20160115,1006048.1664503787,500506.2672110734,"{'NVIV': {'quantity': 0, 'avg_cost': 95.6989247311828, 'current_price': 90.74492099322799}, 'PHIO': {'quantity': 0, 'avg_cost': 101.6778523489933, 'current_price': 96.69966996699671}, 'ARA': {'quantity': 0, 'avg_cost': 97.14285714285714, 'current_price': 98.2352986055262}, 'TNXP': {'quantity': 0, 'avg_cost': 100.19607843137254, 'current_price': 94.71624266144813}, 'AVGR': {'quantity': 0, 'avg_cost': 88.5792349726776, 'current_price': 89.79310344827586}, 'TVIX': {'quantity': 0, 'avg_cost': 104.20932878270763, 'current_price': 92.24890829694323}, 'HMI': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 161.83205302368418}, 'TRNX': {'quantity': 0, 'avg_cost': 88.88888888888889, 'current_price': 95.34883720930233}, 'TOPS': {'quantity': 0, 'avg_cost': 111.11111111111111, 'current_price': 90.0}, 'CEI': {'quantity': 0, 'avg_cost': 88.8412017167382, 'current_price': 80.91787439613528}}"
20160119,1024970.6929602337,500506.2672110734,"{'NVIV': {'quantity': 0, 'avg_cost': 95.6989247311828, 'current_price': 90.74492099322799}, 'PHIO': {'quantity': 0, 'avg_cost': 101.6778523489933, 'current_price': 96.69966996699671}, 'ARA': {'quantity': 0, 'avg_cost': 97.14285714285714, 'current_price': 98.2352986055262}, 'TNXP': {'quantity': 0, 'avg_cost': 100.19607843137254, 'current_price': 94.71624266144813}, 'AVGR': {'quantity': 0, 'avg_cost': 88.5792349726776, 'current_price': 89.79310344827586}, 'TVIX': {'quantity': 0, 'avg_cost': 104.20932878270763, 'current_price': 92.24890829694323}, 'HMI': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 161.83205302368418}, 'TRNX': {'quantity': 0, 'avg_cost': 88.88888888888889, 'current_price': 95.34883720930233}, 'TOPS': {'quantity': 0, 'avg_cost': 111.11111111111111, 'current_price': 90.0}, 'CEI': {'quantity': 0, 'avg_cost': 88.8412017167382, 'current_price': 80.91787439613528}}"
20160120,1023088.8580659056,500506.2672110734,"{'NVIV': {'quantity': 0, 'avg_cost': 95.6989247311828, 'current_price': 90.74492099322799}, 'PHIO': {'quantity': 0, 'avg_cost': 101.6778523489933, 'current_price': 96.69966996699671}, 'ARA': {'quantity': 0, 'avg_cost': 97.14285714285714, 'current_price': 98.2352986055262}, 'TNXP': {'quantity': 0, 'avg_cost': 100.19607843137254, 'current_price': 94.71624266144813}, 'AVGR': {'quantity': 0, 'avg_cost': 88.5792349726776, 'current_price': 89.79310344827586}, 'TVIX': {'quantity': 0, 'avg_cost': 104.20932878270763, 'current_price': 92.24890829694323}, 'HMI': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 161.83205302368418}, 'TRNX': {'quantity': 0, 'avg_cost': 88.88888888888889, 'current_price': 95.34883720930233}, 'TOPS': {'quantity': 0, 'avg_cost': 111.11111111111111, 'current_price': 90.0}, 'CEI': {'quantity': 0, 'avg_cost': 88.8412017167382, 'current_price': 80.91787439613528}}"
20160121,1006764.423063989,500506.2672110734,"{'NVIV': {'quantity': 0, 'avg_cost': 95.6989247311828, 'current_price': 90.74492099322799}, 'PHIO': {'quantity': 0, 'avg_cost': 101.6778523489933, 'current_price': 96.69966996699671}, 'ARA': {'quantity': 0, 'avg_cost': 97.14285714285714, 'current_price': 98.2352986055262}, 'TNXP': {'quantity': 0, 'avg_cost': 100.19607843137254, 'current_price': 94.71624266144813}, 'AVGR': {'quantity': 0, 'avg_cost': 88.5792349726776, 'current_price': 89.79310344827586}, 'TVIX': {'quantity': 0, 'avg_cost': 104.20932878270763, 'current_price': 92.24890829694323}, 'HMI': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 161.83205302368418}, 'TRNX': {'quantity': 0, 'avg_cost': 88.88888888888889, 'current_price': 95.34883720930233}, 'TOPS': {'quantity': 0, 'avg_cost': 111.11111111111111, 'current_price': 90.0}, 'CEI': {'quantity': 0, 'avg_cost': 88.8412017167382, 'current_price': 80.91787439613528}}"
20160122,1018200.2472399772,543427.9310524199,"{'NVIV': {'quantity': 0, 'avg_cost': 95.6989247311828, 'current_price': 90.74492099322799}, 'AVGR': {'quantity': 0, 'avg_cost': 88.5792349726776, 'current_price': 89.79310344827586}, 'HMI': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 161.83205302368418}, 'TRNX': {'quantity': 0, 'avg_cost': 88.88888888888889, 'current_price': 95.34883720930233}, 'LMNL': {'quantity': 0, 'avg_cost': 91.55329825309326, 'current_price': 96.47372053410704}, 'PSHG': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 92.30768601047488}, 'PIC': {'quantity': 0, 'avg_cost': 111.36891541672082, 'current_price': 91.80555376189734}, 'SEB': {'quantity': 0, 'avg_cost': 104.24290200889881, 'current_price': 104.76370098073548}, 'NEW': {'quantity': 0, 'avg_cost': 79.4285706111363, 'current_price': 100.0}, 'MHLA': {'quantity': 0, 'avg_cost': 99.88238514689066, 'current_price': 99.88228590257893}}"
20160125,1002339.7982500861,543427.9310524199,"{'NVIV': {'quantity': 0, 'avg_cost': 95.6989247311828, 'current_price': 90.74492099322799}, 'AVGR': {'quantity': 0, 'avg_cost': 88.5792349726776, 'current_price': 89.79310344827586}, 'HMI': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 161.83205302368418}, 'TRNX': {'quantity': 0, 'avg_cost': 88.88888888888889, 'current_price': 95.34883720930233}, 'LMNL': {'quantity': 0, 'avg_cost': 91.55329825309326, 'current_price': 96.47372053410704}, 'PSHG': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 92.30768601047488}, 'PIC': {'quantity': 0, 'avg_cost': 111.36891541672082, 'current_price': 91.80555376189734}, 'SEB': {'quantity': 0, 'avg_cost': 104.24290200889881, 'current_price': 104.76370098073548}, 'NEW': {'quantity': 0, 'avg_cost': 79.4285706111363, 'current_price': 100.0}, 'MHLA': {'quantity': 0, 'avg_cost': 99.88238514689066, 'current_price': 99.88228590257893}}"
20160126,1036836.0170845361,543427.9310524199,"{'NVIV': {'quantity': 0, 'avg_cost': 95.6989247311828, 'current_price': 90.74492099322799}, 'AVGR': {'quantity': 0, 'avg_cost': 88.5792349726776, 'current_price': 89.79310344827586}, 'HMI': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 161.83205302368418}, 'TRNX': {'quantity': 0, 'avg_cost': 88.88888888888889, 'current_price': 95.34883720930233}, 'LMNL': {'quantity': 0, 'avg_cost': 91.55329825309326, 'current_price': 96.47372053410704}, 'PSHG': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 92.30768601047488}, 'PIC': {'quantity': 0, 'avg_cost': 111.36891541672082, 'current_price': 91.80555376189734}, 'SEB': {'quantity': 0, 'avg_cost': 104.24290200889881, 'current_price': 104.76370098073548}, 'NEW': {'quantity': 0, 'avg_cost': 79.4285706111363, 'current_price': 100.0}, 'MHLA': {'quantity': 0, 'avg_cost': 99.88238514689066, 'current_price': 99.88228590257893}}"
20160127,1002095.0014398242,543427.9310524199,"{'NVIV': {'quantity': 0, 'avg_cost': 95.6989247311828, 'current_price': 90.74492099322799}, 'AVGR': {'quantity': 0, 'avg_cost': 88.5792349726776, 'current_price': 89.79310344827586}, 'HMI': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 161.83205302368418}, 'TRNX': {'quantity': 0, 'avg_cost': 88.88888888888889, 'current_price': 95.34883720930233}, 'LMNL': {'quantity': 0, 'avg_cost': 91.55329825309326, 'current_price': 96.47372053410704}, 'PSHG': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 92.30768601047488}, 'PIC': {'quantity': 0, 'avg_cost': 111.36891541672082, 'current_price': 91.80555376189734}, 'SEB': {'quantity': 0, 'avg_cost': 104.24290200889881, 'current_price': 104.76370098073548}, 'NEW': {'quantity': 0, 'avg_cost': 79.4285706111363, 'current_price': 100.0}, 'MHLA': {'quantity': 0, 'avg_cost': 99.88238514689066, 'current_price': 99.88228590257893}}"
20160128,1014649.812506641,543427.9310524199,"{'NVIV': {'quantity': 0, 'avg_cost': 95.6989247311828, 'current_price': 90.74492099322799}, 'AVGR': {'quantity': 0, 'avg_cost': 88.5792349726776, 'current_price': 89.79310344827586}, 'HMI': {'quantity': 0, 'avg_cost': 80.13889074693498, 'current_price': 161.83205302368418}, 'TRNX': {'quantity': 0, 'avg_cost': 88.88888888888889, 'current_price': 95.34883720930233}, 'LMNL': {'quantity': 0, 'avg_cost': 91.55329825309326, 'current_price': 96.47372053410704}, 'PSHG': {'quantity': 0, 'avg_cost': 100.0, 'current_price': 92.30768601047488}, 'PIC': {'quantity': 0, 'avg_cost': 111.36891541672082, 'current_price': 91.80555376189734}, 'SEB': {'quantity': 0, 'avg_cost': 104.24290200889881, 'current_price': 104.76370098073548}, 'NEW': {'quantity': 0, 'avg_cost': 79.4285706111363, 'current_price': 100.0}, 'MHLA': {'quantity': 0, 'avg_cost': 99.88238514689066, 'current_price': 99.88228590257893}}"
