type,stock,price,quantity,cost,date,proceeds
BUY,NVIV,95.6989247311828,522,49954.838709677424,2026-04-28,
BUY,PHIO,101.6778523489933,491,49923.82550335571,2026-04-28,
BUY,ARA,97.14285714285714,514,49931.42857142857,2026-04-28,
BUY,TNXP,100.19607843137254,499,49997.843137254895,2026-04-28,
BUY,AVGR,88.5792349726776,564,49958.688524590165,2026-04-28,
BUY,TVIX,104.20932878270763,479,49916.26848691695,2026-04-28,
BUY,HMI,80.13889074693498,623,49926.52893534049,2026-04-28,
BUY,TRNX,88.88888888888889,562,49955.555555555555,2026-04-28,
BUY,TOPS,111.11111111111111,450,50000.0,2026-04-28,
BUY,CEI,88.8412017167382,562,49928.755364806864,2026-04-28,
SELL,PHIO,96.69966996699671,491,,2026-04-28,47479.537953795385
SELL,ARA,98.2352986055262,514,,2026-04-28,50492.943483240466
SELL,TNXP,94.71624266144813,499,,2026-04-28,47263.40508806262
SELL,TVIX,92.24890829694323,479,,2026-04-28,44187.22707423581
SELL,TOPS,90.0,450,,2026-04-28,40500.0
SELL,CEI,80.91787439613528,562,,2026-04-28,45475.845410628026
BUY,LMNL,91.55329825309326,423,38727.04516105845,2026-04-28,
BUY,PSHG,100.0,387,38700.0,2026-04-28,
BUY,PIC,111.36891541672082,348,38756.382565018845,2026-04-28,
BUY,SEB,104.24290200889881,372,38778.359547310356,2026-04-28,
BUY,NEW,79.4285706111363,488,38761.14245823451,2026-04-28,
BUY,MHLA,99.88238514689066,388,38754.365436993576,2026-04-28,
SELL,NVIV,90.74492099322799,522,,2026-04-28,47368.848758465014
SELL,AVGR,89.79310344827586,564,,2026-04-28,50643.31034482759
SELL,TRNX,95.34883720930233,562,,2026-04-28,53586.04651162791
SELL,LMNL,96.47372053410704,423,,2026-04-28,40808.38378592728
SELL,PIC,91.80555376189734,348,,2026-04-28,31948.332709140275
SELL,NEW,100.0,488,,2026-04-28,48800.0
SELL,MHLA,99.88228590257893,388,,2026-04-28,38754.32693020062
BUY,AYTU,76.24113909046363,560,42695.03789065964,2026-04-28,
BUY,PACD,90.0,475,42750.0,2026-04-28,
BUY,TBC,93.07692194855528,459,42722.30717438687,2026-04-28,
BUY,SBT,127.05882627933775,336,42691.76562985749,2026-04-28,
BUY,TNXP,91.32231404958677,468,42738.84297520661,2026-04-28,
BUY,DTP,100.0,427,42700.0,2026-04-28,
BUY,RMM,99.94908774248562,427,42678.260466041356,2026-04-28,
SELL,AYTU,102.94117647058823,560,,2026-04-28,57647.05882352941
SELL,TBC,93.07692194855528,459,,2026-04-28,42722.30717438687
SELL,SBT,100.0,336,,2026-04-28,33600.0
SELL,TNXP,91.4027149321267,468,,2026-04-28,42776.470588235294
SELL,DTP,100.0,427,,2026-04-28,42700.0
BUY,GYRO,102.5066420847747,378,38747.510708044836,2026-04-28,
BUY,INPX,98.07692307692307,395,38740.38461538461,2026-04-28,
BUY,PBC,73.84230618747256,525,38767.210748423095,2026-04-28,
BUY,PAE,73.84230618747256,525,38767.210748423095,2026-04-28,
BUY,PTI,73.84230618747256,525,38767.210748423095,2026-04-28,
SELL,PSHG,92.30768601047488,387,,2026-04-28,35723.07448605378
SELL,SEB,104.76370098073548,372,,2026-04-28,38972.0967648336
SELL,PACD,109.09090909090908,475,,2026-04-28,51818.181818181816
SELL,RMM,121.2115262956523,427,,2026-04-28,51757.321728243536
SELL,PBC,137.06294475799638,525,,2026-04-28,71958.0459979481
SELL,PAE,137.06294475799638,525,,2026-04-28,71958.0459979481
SELL,PTI,103.23625067407261,525,,2026-04-28,54199.03160388812
BUY,VMD,99.37694704049844,482,47899.68847352025,2026-04-28,
BUY,MIN,100.55617235976956,476,47864.73804325031,2026-04-28,
BUY,JAGX,128.75816993464053,372,47898.03921568628,2026-04-28,
BUY,CEI,118.21561338289963,405,47877.32342007435,2026-04-28,
BUY,DTP,137.06294475799638,349,47834.967720540735,2026-04-28,
BUY,CHFS,84.50704225352112,567,47915.49295774648,2026-04-28,
BUY,VNE,102.49974979674903,467,47867.3831550818,2026-04-28,
SELL,GYRO,101.01150439732058,378,,2026-04-28,38182.34866218718
SELL,VMD,112.53918495297805,482,,2026-04-28,54243.887147335416
SELL,MIN,100.6637368986988,476,,2026-04-28,47915.93876378063
SELL,CEI,94.65408805031447,405,,2026-04-28,38334.90566037736
SELL,DTP,81.10300483619258,349,,2026-04-28,28304.948687831213
SELL,CHFS,105.79710144927536,567,,2026-04-28,59986.95652173913
BUY,AYTU,105.0,423,44415.0,2026-04-28,
BUY,SBT,81.10300483619258,548,44444.446650233534,2026-04-28,
BUY,UGAZ,81.10300483619258,548,44444.446650233534,2026-04-28,
BUY,BFO,100.19907991953616,444,44488.391484274056,2026-04-28,
BUY,BANFP,100.14714399747535,444,44465.331934879054,2026-04-28,
BUY,CFB,100.0,445,44500.0,2026-04-28,
SELL,HMI,161.83205302368418,623,,2026-04-28,100821.36903375524
SELL,INPX,110.9090909090909,395,,2026-04-28,43809.090909090904
SELL,JAGX,85.84474639775664,372,,2026-04-28,31934.24565996547
SELL,VNE,100.0,467,,2026-04-28,46700.0
SELL,AYTU,98.4126984126984,423,,2026-04-28,41628.57142857143
SELL,SBT,161.83205302368418,548,,2026-04-28,88683.96505697894
SELL,UGAZ,102.63157894736842,548,,2026-04-28,56242.10526315789
SELL,BFO,99.9337603809709,444,,2026-04-28,44370.58960915108
SELL,BANFP,100.25705182548504,444,,2026-04-28,44514.13101051535
BUY,VFF,100.0,561,56100.0,2026-04-28,
BUY,MKL,101.43455518344993,553,56093.30901644781,2026-04-28,
BUY,SLS,119.27710843373492,470,56060.240963855416,2026-04-28,
BUY,MEC,100.0,561,56100.0,2026-04-28,
BUY,TRNX,105.0420168067227,534,56092.43697478992,2026-04-28,
BUY,DTP,100.0,561,56100.0,2026-04-28,
BUY,JCP,114.50980905476379,489,55995.29662777949,2026-04-28,
BUY,NEW,85.84474639775664,653,56056.619397735085,2026-04-28,
BUY,JG,93.33333289181743,601,56093.333067982276,2026-04-28,
SELL,CFB,100.0,445,,2026-04-28,44500.0
SELL,MKL,101.99079261138881,553,,2026-04-28,56400.908314098015
SELL,SLS,87.87878787878788,470,,2026-04-28,41303.030303030304
SELL,MEC,78.72340546953781,561,,2026-04-28,44163.83046841071
SELL,TRNX,97.6,534,,2026-04-28,52118.399999999994
SELL,DTP,125.80644603078252,561,,2026-04-28,70577.416223269
SELL,JCP,98.28766474560086,489,,2026-04-28,48062.66806059882
SELL,JG,88.09524198102856,601,,2026-04-28,52945.24043059817
BUY,MTBCP,100.0,513,51300.0,2026-04-28,
BUY,FXNC,100.0,513,51300.0,2026-04-28,
BUY,VMD,104.44444444444446,491,51282.222222222226,2026-04-28,
BUY,NET,107.6924748831491,477,51369.31051926212,2026-04-28,
BUY,NVCN,103.09278350515463,498,51340.206185567,2026-04-28,
BUY,MTA,78.72340546953781,652,51327.660366138654,2026-04-28,
BUY,VNE,100.0,513,51300.0,2026-04-28,
BUY,NVR,101.01780880497017,508,51317.046872924846,2026-04-28,
SELL,VFF,100.0,561,,2026-04-28,56100.0
SELL,NEW,81.63265306122449,653,,2026-04-28,53306.12244897959
SELL,MTBCP,100.0,513,,2026-04-28,51300.0
SELL,FXNC,100.0,513,,2026-04-28,51300.0
SELL,VMD,109.04255319148936,491,,2026-04-28,53539.89361702128
SELL,NET,102.14300130208333,477,,2026-04-28,48722.21162109375
SELL,NVCN,99.75,498,,2026-04-28,49675.5
SELL,MTA,81.63265306122449,652,,2026-04-28,53224.489795918365
SELL,VNE,96.66700623887849,513,,2026-04-28,49590.174200544665
SELL,NVR,104.1377227423739,508,,2026-04-28,52901.96315312594
BUY,AVEO,81.63265306122449,696,56816.32653061224,2026-04-28,
BUY,ZYNE,81.63265306122449,696,56816.32653061224,2026-04-28,
BUY,INPX,94.57627118644068,600,56745.76271186441,2026-04-28,
BUY,AVGR,81.63265306122449,696,56816.32653061224,2026-04-28,
BUY,TRNX,100.81967213114753,563,56761.47540983606,2026-04-28,
BUY,LBC,89.4736691062764,635,56815.77988248552,2026-04-28,
BUY,AZO,98.74091858674201,575,56776.02818737666,2026-04-28,
BUY,PIC,109.02494255514705,521,56801.99507123161,2026-04-28,
BUY,DTP,81.63265306122449,696,56816.32653061224,2026-04-28,
BUY,TWIN,104.38512915332447,544,56785.51025940851,2026-04-28,
SELL,AVEO,96.80851862515874,696,,2026-04-28,67378.72896311048
SELL,ZYNE,84.0314143314614,696,,2026-04-28,58485.864374697136
SELL,INPX,107.5268817204301,600,,2026-04-28,64516.12903225806
SELL,AVGR,100.82256169212691,696,,2026-04-28,70172.50293772033
SELL,TRNX,87.8048780487805,563,,2026-04-28,49434.14634146342
SELL,AZO,101.45693517360117,575,,2026-04-28,58337.73772482067
SELL,PIC,96.19730416603308,521,,2026-04-28,50118.79547050323
SELL,TWIN,94.61187065876774,544,,2026-04-28,51468.85763836965
BUY,LMNL,90.29089535323007,575,51917.26482810729,2026-04-28,
BUY,VVPR,99.59959997227757,521,51891.391585556616,2026-04-28,
BUY,ELC,106.95658631493117,485,51873.94436274162,2026-04-28,
BUY,TNXP,99.58677685950413,521,51884.710743801654,2026-04-28,
BUY,SLS,119.01408214224791,436,51890.13981402009,2026-04-28,
BUY,JAGX,102.49999999999999,506,51864.99999999999,2026-04-28,
BUY,PSTV,111.11111111111111,467,51888.88888888889,2026-04-28,
BUY,STG,90.90907693309823,571,51909.08292879909,2026-04-28,
SELL,LBC,122.2222201197656,635,,2026-04-28,77611.10977605115
SELL,DTP,122.2222201197656,696,,2026-04-28,85066.66520335685
SELL,LMNL,101.25523012552303,575,,2026-04-28,58221.75732217574
SELL,VVPR,100.40200967457085,521,,2026-04-28,52309.447040451414
SELL,TNXP,105.3941908713693,521,,2026-04-28,54910.37344398341
