type,stock,price,quantity,cost,date,proceeds
BUY,NVIV,95.6989247311828,1044,99909.67741935485,2026-04-28,
BUY,PHIO,101.6778523489933,983,99949.3288590604,2026-04-28,
BUY,ARA,97.14285714285714,1029,99960.0,2026-04-28,
BUY,TNXP,100.19607843137254,998,99995.68627450979,2026-04-28,
BUY,AVGR,88.5792349726776,1128,99917.37704918033,2026-04-28,
BUY,TVIX,104.20932878270763,959,99936.74630261662,2026-04-28,
BUY,HMI,80.13889074693498,1247,99933.19676142791,2026-04-28,
BUY,TRNX,88.88888888888889,1125,100000.0,2026-04-28,
BUY,TOPS,111.11111111111111,900,100000.0,2026-04-28,
BUY,CEI,88.8412017167382,1125,99946.35193133047,2026-04-28,
SELL,PHIO,96.69966996699671,983,,2026-04-28,95055.77557755777
SELL,ARA,98.2352986055262,1029,,2026-04-28,101084.12226508645
SELL,TNXP,94.71624266144813,998,,2026-04-28,94526.81017612523
SELL,TVIX,92.24890829694323,959,,2026-04-28,88466.70305676856
SELL,TOPS,90.0,900,,2026-04-28,81000.0
SELL,CEI,80.91787439613528,1125,,2026-04-28,91032.60869565219
BUY,LMNL,91.55329825309326,602,55115.08554836214,2026-04-28,
BUY,MHLA,99.88238514689066,552,55135.076601083645,2026-04-28,
BUY,PIC,111.36891541672082,495,55127.613131276805,2026-04-28,
BUY,SEB,104.24290200889881,529,55144.49516270747,2026-04-28,
BUY,NEW,79.4285706111363,694,55123.42800412859,2026-04-28,
BUY,PSHG,100.0,551,55100.0,2026-04-28,
SELL,NVIV,90.74492099322799,1044,,2026-04-28,94737.69751693003
SELL,AVGR,89.79310344827586,1128,,2026-04-28,101286.62068965517
SELL,TRNX,95.34883720930233,1125,,2026-04-28,107267.44186046513
SELL,LMNL,96.47372053410704,602,,2026-04-28,58077.17976153244
SELL,MHLA,99.88228590257893,552,,2026-04-28,55135.02181822357
SELL,PIC,91.80555376189734,495,,2026-04-28,45443.74911213919
SELL,NEW,100.0,694,,2026-04-28,69400.0
BUY,AYTU,76.24113909046363,986,75173.76314319714,2026-04-28,
BUY,PACD,90.0,835,75150.0,2026-04-28,
BUY,TBC,93.07692194855528,808,75206.15293443267,2026-04-28,
BUY,TNXP,91.32231404958677,823,75158.26446280991,2026-04-28,
BUY,SBT,127.05882627933775,592,75218.82515736794,2026-04-28,
BUY,DTP,100.0,752,75200.0,2026-04-28,
BUY,RMM,99.94908774248562,752,75161.71398234919,2026-04-28,
SELL,AYTU,102.94117647058823,986,,2026-04-28,101500.0
SELL,TBC,93.07692194855528,808,,2026-04-28,75206.15293443267
SELL,TNXP,91.4027149321267,823,,2026-04-28,75224.43438914027
SELL,SBT,100.0,592,,2026-04-28,59200.0
SELL,DTP,100.0,752,,2026-04-28,75200.0
BUY,GYRO,102.5066420847747,597,61196.46532461049,2026-04-28,
BUY,INPX,98.07692307692307,624,61199.99999999999,2026-04-28,
BUY,PAE,73.84230618747256,829,61215.27182941475,2026-04-28,
BUY,PTI,73.84230618747256,829,61215.27182941475,2026-04-28,
BUY,PBC,73.84230618747256,829,61215.27182941475,2026-04-28,
SELL,SEB,104.76370098073548,529,,2026-04-28,55419.99781880907
SELL,PSHG,92.30768601047488,551,,2026-04-28,50861.53499177166
SELL,PACD,109.09090909090908,835,,2026-04-28,91090.90909090909
